domain,phone_numbers,social_links,status
hdnavalue.com,3103785700,https://www.facebook.com/pages/Hollingshead-Dearden-Associates/848956838453944; https://www.linkedin.com/company/hollingshead-dearden-&-associates,ok
mojoparker.com,,https://instagram.com/mojoparkerblues; https://www.facebook.com/mojoparker,ok
proofpass.com,,,failed
rgaineswebdevelopment.com,+18169747493; 8169747493,,ok
spynewsletter.com,,,failed
charliesproshop.com,7273973947,,ok
haqelyaqeen.com,,,failed
mutterpasshuellen.eu,6212542147,,ok
theneumannproject.com,,,failed
vibrantlifefarms.com,970-222-5917; 9706388988,https://www.facebook.com/vibrantlifefarms; https://www.instagram.com/vibrantlifedelights; https://instagram.com/wix/,ok
vipsmarthomes.com,4252922500,https://www.linkedin.com/company/vipsmarthomes/,ok
jsdagency.com,,https://www.instagram.com/jsd.agency/?hl=en; https://www.linkedin.com/company/jsdagency,ok
sunnova-solar-oakland.business.site,,,failed
tevisdenise.com,,,failed
badgertoyotalift.com,,,ok
bettoli.realtor,(305) 356-7440; 3053567440,https://facebook.com/NARdotRealtor; https://instagram.com/nardotrealtor/,ok
greggardnersbarbershop.com,,,failed
hautesalonjc.com,5736347476; 573-634-7476,https://www.facebook.com/hautesalon; https://www.instagram.com/hautesalonjc/,ok
ropescan.us,,,failed
saracott.com,4048501270,,ok
dumpsterrentalalhambraca.com,,,failed
fynres.com,,,failed
hubbardstudios.com,,,failed
roushdetailingllc.com,,https://www.instagram.com/RoushDetailingLLC.Colorado; https://www.facebook.com/RoushDetailingLLC,ok
salinasidingcompany.com,+1785-390-8822; 7853908822,https://www.linkedin.com/company/75604120/; https://www.facebook.com/Salina-Siding-Company-104405568676524,ok
arisepca.com,,https://www.instagram.com/arisepresbyterian/; http://www.facebook.com/ArisePCA; https://www.instagram.com/p/DTN_lZuj8Qr/,ok
hairbykole.com,,,failed
bundlesbybassett.com,,,failed
documentsandforms.com,,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Fslaying-social-anxiety%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Fcash-building-strategies%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Fhow-to-price-your-product-or-service-just-right-2%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2F7-days-to-plr-profits-2%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Fdoing-business-with-paypal-2%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Fthe-master-guide-to-plr-2%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Fdont-delay-sell-more-online-2%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Fturning-digital-trash-into-cash-2%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Fheavy-duty-online-selling-2%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Finternet-marketing-secrets-unlocked%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Farticles-of-incorporation-2025-series%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Fmiracle-commissions%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Fproduct-flipping-for-cash-2%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Flearning-the-legalese%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Farticles-of-incorporation-2025-basic-series-free%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Finternet-marketers-guide-to-plr-2%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Fthe-master-guide-to-plr%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Fproduct-funnel-optimization%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Flearning-the-legalese-2%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Femail-marketing-101%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Fnetworking-public-speaking-for-internet-marketers-2%2F; https://facebook.com/; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Ftimeless-sales-strategies-2%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Faction-driven-living%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Fthe-ultimate-copywriting-handbook%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Fcash-building-strategies-2%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Fthe-branding-formula%2F; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fdocumentsandforms.com%2Fdownloads%2Ffiresale-profits-revealed-2%2F,ok
lineoftecnologia.com,,,failed
mikesagfencerepair.com,2402856648,https://www.facebook.com/Mikes-Agriculture-Fence-Repair-101798072153722/?ref=page_internal,ok
sootheyoursoulmassage.com,,,failed
thatpaintgirl.com,,http://instagram.com/thatpaintgrl,ok
cgllcairheatingandcoolingservices.business.site,,,failed
clinejewelers.com,,,failed
1vandegraaff.com,,,failed
betterbuildco.com,5122708388; +15122708388,https://www.facebook.com/profile.php?id=100093143553622; https://www.instagram.com/austinhomeservices/?next=%2F,ok
dreamservicesoftware.com,2106950795,https://www.linkedin.com/company/dream-service-software; https://www.instagram.com/dreamservicesoftware/; https://www.facebook.com/dreamservicecrm,ok
meskauskis.com,,,ok
thelocalmanjakemangan.com,,,failed
timberwoodofnaples.org,,,failed
two2brew.com,8776627544,https://www.facebook.com/hellotwo2brew/; https://instagram.com/hellotwo2brew; //www.facebook.com/sharer.php?u=https://www.two2brew.com/products/ascaso-steel-duo-plus-new; //www.facebook.com/sharer.php?u=https://www.two2brew.com/products/blendtec-bar-blender,ok
loydayu.com,6198897788; 6194757777,http://www.facebook.com/ErikaLoydaYu,ok
markhensonart.com,7072752201; 7077308538; 7072453507; 707-730-8538; 707-275-2201,http://www.facebook.com; http://www.instagram.com,ok
tangodown.com,,,failed
iambaldianastyles.info,,,failed
innovativeinstruction.org,,,failed
lassomd.com,8884488149,https://www.instagram.com/hi.lassomd/; https://www.facebook.com/Hi.LassoMD/,ok
nefsvt.com,8027548863,https://www.instagram.com/nefsvt/; https://www.facebook.com/NortheastFarmServices/?ref=hl,ok
yourvibrantnutrition.com,7328295146; 732-829-5146,https://www.instagram.com/wellnessoneill/; https://www.linkedin.com/in/annette-o-neill-rdn-3182a5ba/; https://www.facebook.com/Dietitianinfo/,ok
burst-media.com,2085739931,https://www.facebook.com/BurstMediaLLC/,ok
hightechautoservicesantamonica.com,,,failed
rebeccathebadass.com,,https://www.instagram.com/rebeccaekeating/,ok
tsunamipolo.org,,https://www.instagram.com/sftsunamipolo/?utm_source=ig_embed&utm_campaign=loading; https://www.facebook.com/SFTsunamiWaterPolo,ok
bergesenterpriseinc.com,,,ok
brooklyntreecompany.com,,,failed
citycenterwaco.com,254.754.8989; 2547548989,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.facebook.com%2F230114996062234%2Fposts%2F907393761667684; https://www.instagram.com/wacodowntown/; https://www.facebook.com/230114996062234/posts/907393761667684; https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.facebook.com%2F230114996062234%2Fposts%2F907393761667684&title=%09%09%09For%20all%20our%20art%20lovers%2C%20Downtown%20Waco%20is%20rich%20in%20local%20talent%2C%20as%20evidenced%20by%20the%20beautiful%20wall%20murals%20that%20adorn%20our%20city.%20Which%20one%20is%20your%20favorite%3F%20Comment%20down%20below%21%20%E2%AC%87%EF%B8%8F%20%F0%9F%8E%A8%09%09%09%09; https://twitter.com/intent/tweet?text=https%3A%2F%2Fwww.facebook.com%2F230114996062234%2Fposts%2F907393761667684; https://www.facebook.com/downtownwacotx/; https://facebook.com/216687328438429,ok
paysonhandyman.com,,http://www.google.com/url?q=http%3A%2F%2Finstagram.com%2Fpaysonhandyman&sa=D&sntz=1&usg=AOvVaw0XxJ0NDLvG0pT2n_8zA_Rp; https://www.google.com/url?q=https%3A%2F%2Fwww.facebook.com%2Fpaysonhandyman%2F%3Fref%3Dpages_you_manage&sa=D&sntz=1&usg=AOvVaw00lBsIL37bVvNsYefyp_HP,ok
skdesignbuildllc.com,4067457506; 4067457500; 5206222590; 5413105612; 5207420457,https://www.facebook.com/sktcorp; https://www.linkedin.com/company/s&k-technologies/,ok
adaini.com,,,ok
brilliantcityreiki.com,,,failed
genfreellc.com,,https://www.linkedin.com/company/genfree-llc; https://www.facebook.com/100137179118600,ok
gentzlerelectric.com,2143412890; (214) 341-2890; 1-214-341-2890,,ok
moorecapitalservices.net,,,ok
amendedbeauty.com,7194459706,https://www.facebook.com/hue32; https://instagram.com/amendedbeauty; https://www.instagram.com/browbarinc_template/,ok
beautifulbodybabes.com,,,failed
charlesmann-contracting.com,,,failed
growthfutures.net,,,failed
janarose.us,,https://www.instagram.com/p/CtpAf4TJKnC/; https://www.instagram.com/reel/Ct7P56apYIg/; https://www.instagram.com/reel/CuDXVwGJ5nv/; https://www.instagram.com/reel/CuPiaj9r-ZK/; https://www.instagram.com/reel/Ctpf4NBpW95/; https://www.instagram.com/reel/CuAPx0wJocZ/; https://www.instagram.com/reel/CtbwblgRU_k/; https://www.instagram.com/reel/CuSUzDdp3S4/; https://www.instagram.com/p/CuFPFmELou9/; https://www.instagram.com/reel/Ct38o-uNK_o/; https://www.instagram.com/reel/Ct96i3op0vY/; https://www.instagram.com/reel/CuUoHCqs3gq/,ok
pearlcorker.wordpress.com,,,ok
skinnerdaylilies.com,,,failed
tamalpaistaichi.com,,,ok
asahisuperdry.com,,,ok
drrokh.com,,https://www.instagram.com/dr_rokh_academy/; https://www.facebook.com/Drrokh26/; https://www.linkedin.com/in/parastoo-chamanrokh-ph-d-a647616a,ok
highwaydistribution.net,9512108167,https://www.facebook.com/boldthemes/; https://www.instagram.com/bold_themes/,ok
kellyhohlainteriors.com,,https://www.instagram.com/kellyhohla/; https://www.facebook.com/hohlainteriors/,ok
lawrencedy.com,8584491253,,ok
sullivanswcd.org,8452926552; 8452959073,https://www.facebook.com/profile.php?id=61558103647651,ok
ergoactives.com,,,ok
grpinsurance.com,5614487410; 8776416677,,ok
laydomsouth.org,,,ok
shoplakebuoy.com,,,failed
tambasamba.design,,,ok
acornlawpc.com,8054093878; 805-409-3878,https://www.facebook.com/acornlaw/,ok
airelibreavenue.com,,,failed
erichedlund.com,,,ok
imperiumstrategiesllc.com,,https://www.linkedin.com/company/imperium-public-strategies,ok
4v21.com,,,failed
intfloors.com,,,ok
norconindustries.net,4808392324; 480-839-2324; 480.839.2324,,ok
tic-texas.com,2812650409; 2812650402,https://www.linkedin.com/company/texas-inpatient-consultants-lllp/; https://www.instagram.com/texas_inpatient_consultants/; https://www.facebook.com/TICSugarLand/,ok
trihealthbalance.com,,,failed
bathpeople.com,,https://www.instagram.com/bathpeopleco/; https://www.facebook.com/bathpeople/,ok
bubongstore.com,,,failed
cedarwork.org,,,failed
helixapartments.com,,,failed
richardsservicecenter.com,,,failed
epertase.com,,,failed
id44.com,,,failed
laflosd.com,,,failed
lifeofbtc.org,8035490083,https://www.facebook.com/Sterling-Council-605921499827431; https://www.instagram.com/life.of.btc/,ok
openairchair.com,,,failed
sushirawsf.com,,,ok
verve-medical.com,,,ok
jaredshavelson.com,,http://instagram.com/jaredshavelson,ok
lgcountryschool.com,8474384834,,ok
wanakenapinecone.wordpress.com,315-309-4040; 3153094040,https://www.facebook.com/profile.php,ok
clevelandheightsapartments.com,,,ok
highqualitypcs.com,,,failed
tylerteaches.com,,,failed
86fest.com,,https://www.facebook.com/86FEST/; https://www.facebook.com/CarsWithoutLimits/; https://www.instagram.com/86fest/; https://www.facebook.com/events/285767488297736/; https://instagram.com/azfrs86/; https://instagram.com/socalsd86/; https://www.facebook.com/TeamTopakRacing,ok
elijahvest.com,,,failed
hannacho.com,,,failed
jasonheltonrealestate.com,,,failed
kathymetzinc.com,,https://www.facebook.com/; https://www.linkedin.com/; https://www.instagram.com/,ok
platformtemizlik.com,,,failed
shmstudios.com,,,ok
westtubingcompany.com,828-389-8823,https://www.instagram.com/west_tubing_company/; https://www.facebook.com/westtubingcompany,ok
advance-tcc.com,,,failed
bluestreakgrinding.com,6023538088,,ok
tashahmoore.com,,,failed
thejewishheritagefoundation.com,,,failed
veritassynergetic.com,,,failed
wellbaum-apiaries.business.site,,,failed
aroostooktechnologies.com,207-762-9321; 2077629321,,ok
branchedoakmarina.com,,,failed
brandibaileyphotos.com,,,failed
daylilyhealth.org,2485564556,https://www.linkedin.com/company/daylilyhealth; https://facebook.com/daylilyhealth; https://instagram.com/daylilyhealth,ok
woodstocklodge246.org,,,failed
burkeoppenheim.com,,,failed
eringallagher.wordpress.com,3124927458,http://www.facebook.com/pages/Chicago-IL/erin-gallagher-jewelry/136555849833?ref=ts,ok
snugharborca.com,,,failed
successoilco.com,8004519865; 8189749623,,ok
thermalpd.com,,,failed
emergencyinternational.org,,,ok
foxtrailerservice.com,2544343927,https://www.facebook.com/foxtrailerservice/,ok
nomadicbearproductions.com,,,failed
powersfamilymedicine.com,2489872958; 2484826222; 12484826222,http://www.facebook.com/powersmedicine,ok
themacks.wordpress.com,,,ok
timothylee.us,4087400862,https://linkedin.com/in/timothylee-us; https://www.linkedin.com/in/timothylee-us/,ok
nu-imagepainting.com,,,failed
southsidedentalcare-dentalclinic.business.site,,,failed
citadelurban.com,2107960167,https://www.instagram.com/citadelurban/; https://www.facebook.com/profile.php?id=61555742331720,ok
coopster.org,,,ok
directjet.com,,,failed
sacreativedesign.com,8326462308,//www.facebook.com,ok
yjlashstudio.com,,,failed
sanfranciscowinecenter.com,,,ok
sceniclandscaping.net,,,failed
techsynario.com,,,failed
temploebenezerweslaco.com,,,failed
cotherix.com,,,failed
leahyfamilydentistry.com,,,failed
ohanacrm.com,,,ok
pd2llc.com,,,failed
romesportshalloffame.com,,,failed
studiobsalon.net,,,failed
aristacons.com,,https://www.facebook.com/Plesk; https://www.linkedin.com/company/plesk,ok
sbmobilenails.com,,,failed
aether-multimedia-llc.business.site,,,failed
aspecialtouchflorist.net,,,failed
cowpaddyfudge.wordpress.com,8133824158,,ok
maquez-kennelz.business.site,,,failed
tax-masters.net,,,failed
ticketsregina.com,,,failed
abujaluxuryhome.com,,,failed
belozapp.com,,,failed
harmonystarkennel.com,,,ok
homesforsalescv.com,6612502075; 66128686105546,,ok
1stamc.com,,,failed
abbevillecalendar.com,,,ok
apollostreams.com,8014926296,https://www.facebook.com/Apollo-Streams-103638581396058; https://www.instagram.com/apollostreams/,ok
fitfeetflorida.com,7278245100; 8136451993; (813) 563-6458; 8135636458,https://www.facebook.com/FitFeetForLifeFootandAnkle/,ok
kaylabeehler.com,,https://www.linkedin.com/in/kayla-beehler-61691410a/; https://www.instagram.com/kb_designs/,ok
parisfumc.org,,,failed
jointguard.com,,,ok
kusbeautyusa.com,,,failed
logansquarelaundry.com,8722786606; (872) 278-6606,https://facebook.com/profile.php?id=61578108756218,ok
mogreenway.com,,,ok
al-advertising-diet-store.com,,,failed
artworkbydoyle.com,,,failed
bc-hinger.com,,,failed
beautyblueprintllc.com,,,failed
bookkeepinglogic.com,4086901896,,ok
neomedia-dg.com,9152012695; +1 915 201-2695,https://www.linkedin.com/company/neomedia-design-group; https://www.facebook.com/neomedia.dg; https://www.instagram.com/neomedia.dg,ok
reveportraits.com,,,failed
rustyskate.com,,,failed
shootmethevin.com,,,failed
3lechesbake.com,2252875355; 2255726013,https://www.instagram.com/3lechesbakery/; https://www.facebook.com/3lechesbake/,ok
baypointlabs.com,707-747-6081; 7077476081,,ok
bigtransformerbushings.com,3304931890; 3304931893,,ok
feltgoodmusic.com,,,failed
lionsteelstructuresco.com,,,failed
royaltycleaningva.co,,,failed
sherricornett.com,,,ok
childcarecompany.org,,,ok
kathrynsonmoonlake.com,,,ok
periogel.net,8774344867,https://www.instagram.com/perioprotect/; https://www.facebook.com/PerioProtect,ok
prashnercpa.com,5123261440,https://www.facebook.com/Barbara-Prashner-CPA-PC-128144142015; https://us.linkedin.com/in/barbara-prashner-cpa-p-c-8914127,ok
whittiershuttle.com,//19073506010; 9073506010; 8882578527,,ok
